product_id,product_name,category,unit_cost,shelf_life_days
P000000,Kellogg's Cheddar Cheese 400g,Food,2.0,7
P000001,Pampers Shampoo 400ml,Personal Care,1.37,730
P000002,Fairy Laundry Detergent 1.3L,Household,4.95,365
P000003,Evian Lemon-Lime Soda 2L,Beverage,1.04,180
P000004,Cadbury Tomato Ketchup 460g,Food,0.86,180
P000005,Birds Eye Pasta Sauce 500g,Food,2.01,180
P000006,Knorr Breakfast Cereal 375g,Food,1.61,14
P000007,Pampers Deodorant 150ml,Personal Care,1.42,1095
P000008,Ballygowan Orange Juice 1L,Beverage,1.73,365
P000009,Tesco Disinfectant Spray 750ml,Household,2.13,730
P000010,Lyons Tea Gravy Granules 190g,Food,0.7,7
P000011,Dove Nappies Size 4,Personal Care,8.04,1095
P000012,Fairy Toilet Paper 9pk,Household,2.64,365
P000013,Lyons Tea Instant Coffee 100g,Food,1.98,30
P000014,Heinz Frozen Chips 1.5kg,Food,2.85,90
P000015,Chivers Butter 250g,Food,1.47,30
P000016,Knorr Biscuits 154g,Food,0.7,7
P000017,Evian Cola 330ml,Beverage,0.47,30
P000018,Cadbury Tea Bags 80ct,Food,1.38,90
P000019,Cadbury Tea Bags 160ct,Food,1.67,180
P000020,Pepsi Energy Drink 500ml,Beverage,0.97,180
P000021,Birds Eye Gravy Granules 190g,Food,0.5,365
P000022,Nestlé Pasta Sauce 500g,Food,1.69,180
P000023,Nestlé Chocolate Bar 100g,Food,0.45,90
P000024,Barry's Tea Lemon-Lime Soda 2L,Beverage,0.84,90
P000025,Dettol Disinfectant Spray 750ml,Household,2.04,730
P000026,Birds Eye Tea Bags 160ct,Food,2.27,90
P000027,Ballygowan Instant Coffee 200g,Beverage,1.56,180
P000028,Coca-Cola Iced Coffee 250ml,Beverage,0.67,30
P000029,Birds Eye Biscuits 300g,Food,1.05,30
P000030,Lyons Tea Lemon-Lime Soda 330ml,Beverage,0.51,90
P000031,Cadbury Pasta Sauce 500g,Food,1.26,14
P000032,Heinz Tomato Ketchup 460g,Food,0.72,90
P000033,Gillette Razor Blades 4ct,Personal Care,3.67,365
P000034,Tesco Nappies Size 3,Personal Care,5.62,730
P000035,Persil Disinfectant Spray 750ml,Household,2.56,1095
P000036,Oreo Chocolate Bar 100g,Food,0.47,90
P000037,Bisto Tomato Ketchup 460g,Food,0.87,30
P000038,Persil Kitchen Towels 4pk,Household,1.44,730
P000039,Oreo Breakfast Cereal 500g,Food,1.77,14
P000040,Lyons Tea Tea Bags 80ct,Food,1.22,90
P000041,Evian Iced Coffee 250ml,Beverage,0.6,365
P000042,Dairy Gold Frozen Peas 900g,Food,1.44,180
P000043,Dettol Toothpaste 75ml,Personal Care,1.23,730
P000044,Nestlé Gravy Granules 190g,Food,0.71,7
P000045,Fairy Disinfectant Spray 750ml,Household,2.39,365
P000046,McCain Butter 500g,Food,1.72,14
P000047,Barry's Tea Tea Bags 160ct,Beverage,2.63,365
P000048,Coca-Cola Sparkling Water 500ml,Beverage,0.44,30
P000049,Bisto Crisps 150g,Food,0.58,90
P000050,Colgate Toothbrush 2ct,Personal Care,0.7,365
P000051,Tesco Kitchen Towels 4pk,Household,1.67,730
P000052,Gillette Toothbrush 2ct,Personal Care,0.9,365
P000053,Huggies Nappies Size 4,Personal Care,6.14,365
P000054,Coca-Cola Tea Bags 160ct,Beverage,2.47,365
P000055,Huggies Hand Sanitiser 250ml,Personal Care,0.94,365
P000056,Birds Eye Greek Yogurt 500g,Food,1.22,180
P000057,Birds Eye Crisps 150g,Food,0.52,14
P000058,Barry's Tea Crisps 150g,Food,0.6,90
P000059,Birds Eye Tea Bags 80ct,Food,1.76,180
P000060,McCain Tomato Ketchup 460g,Food,0.7,7
P000061,Dairy Gold Biscuits 154g,Food,0.63,180
P000062,Dettol Disinfectant Spray 750ml,Household,2.55,730
P000063,Lyons Tea Cheddar Cheese 200g,Food,1.25,30
P000064,Weetabix Biscuits 154g,Food,0.65,180
P000065,Evian Energy Drink 500ml,Beverage,0.7,365
P000066,Chivers Jam 340g,Food,1.31,14
P000067,Ariel Surface Wipes 70ct,Household,1.47,730
P000068,Lyons Tea Jam 340g,Food,1.2,7
P000069,Pampers Conditioner 400ml,Personal Care,1.41,365
P000070,Dettol Toilet Paper 9pk,Household,3.31,365
P000071,Kellogg's Tea Bags 80ct,Food,1.81,7
P000072,Bisto Frozen Chips 1.5kg,Food,2.17,7
P000073,Ariel Dishwashing Liquid 450ml,Household,1.08,365
P000074,Tesco Surface Wipes 70ct,Household,1.81,1095
P000075,Dettol Kitchen Towels 4pk,Household,1.14,730
P000076,Dettol Bleach 1L,Household,0.56,730
P000077,Lyons Tea Biscuits 154g,Food,0.44,180
P000078,Chivers Breakfast Cereal 375g,Food,1.21,14
P000079,Bisto Pasta Sauce 500g,Food,1.38,30
P000080,Dettol Toothbrush 2ct,Personal Care,0.83,730
P000081,Ballygowan Sparkling Water 1.5L,Beverage,0.56,90
P000082,Heinz Pasta Sauce 500g,Food,0.99,7
P000083,Cadbury Greek Yogurt 500g,Food,1.45,30
P000084,Barry's Tea Greek Yogurt 500g,Food,1.61,180
P000085,McCain Chocolate Bar 40g,Food,0.56,14
P000086,Ariel Disinfectant Spray 750ml,Household,1.98,730
P000087,Lyons Tea Cola 2L,Beverage,1.09,30
P000088,Dettol Toothbrush 2ct,Personal Care,0.76,730
P000089,Barry's Tea Still Water 1.5L,Beverage,0.77,30
P000090,Kerrygold Cheddar Cheese 200g,Food,1.6,90
P000091,Fairy Surface Wipes 70ct,Household,1.69,365
P000092,Tesco Dishwashing Liquid 450ml,Household,1.1,1095
P000093,Pepsi Milk 2L,Beverage,1.26,365
P000094,Fairy Laundry Capsules 30ct,Household,4.62,365
P000095,Lyons Tea Iced Coffee 250ml,Beverage,0.68,30
P000096,Evian Lemon-Lime Soda 330ml,Beverage,0.68,90
P000097,Chivers Butter 500g,Food,2.14,30
P000098,Heinz Butter 250g,Food,0.97,180
P000099,Heinz Cheddar Cheese 400g,Food,1.66,14
P000100,McCain Tea Bags 160ct,Food,1.73,30
P000101,Kerrygold Iced Coffee 250ml,Beverage,0.92,180
P000102,Chivers Butter 500g,Food,2.95,180
P000103,Kerrygold Tea Bags 160ct,Beverage,2.69,14
P000104,Tesco Toothbrush 4ct,Personal Care,0.9,730
P000105,McCain Crisps 150g,Food,0.75,180
P000106,Weetabix Biscuits 154g,Food,0.7,180
P000107,Tesco Toilet Paper 18pk,Household,3.92,365
P000108,Oreo Cheddar Cheese 200g,Food,1.44,30
P000109,Chivers Gravy Granules 190g,Food,0.67,180
P000110,McCain Instant Coffee 200g,Food,2.6,14
P000111,Oreo Chocolate Bar 100g,Food,0.54,90
P000112,Colgate Toothbrush 2ct,Personal Care,0.7,730
P000113,Tesco Surface Wipes 70ct,Household,1.8,1095
P000114,Kerrygold Lemon-Lime Soda 330ml,Beverage,0.31,30
P000115,Pampers Body Wash 500ml,Personal Care,1.77,365
P000116,Fairy Kitchen Towels 2pk,Household,0.91,365
P000117,Kellogg's Butter 500g,Food,2.9,365
P000118,Dettol Hand Sanitiser 250ml,Personal Care,1.01,365
P000119,Barry's Tea Sparkling Water 500ml,Beverage,0.61,365
P000120,Ariel Laundry Detergent 1.3L,Household,3.9,730
P000121,Huggies Deodorant 150ml,Personal Care,1.63,365
P000122,Barry's Tea Jam 340g,Food,1.26,14
P000123,Nescafé Pasta Sauce 500g,Food,0.83,14
P000124,Cadbury Instant Coffee 200g,Food,2.02,180
P000125,Birds Eye Tomato Ketchup 460g,Food,0.98,90
P000126,Tesco Bleach 1L,Household,0.83,1095
P000127,Huggies Toothpaste 75ml,Personal Care,0.87,365
P000128,Oreo Frozen Chips 1.5kg,Food,2.31,180
P000129,Lyons Tea Milk 2L,Beverage,1.16,365
P000130,Kellogg's Tea Bags 80ct,Food,1.23,14
P000131,Chivers Greek Yogurt 500g,Food,1.56,14
P000132,Nescafé Breakfast Cereal 500g,Food,1.96,7
P000133,Oreo Instant Coffee 200g,Food,1.74,365
P000134,Dove Toothpaste 75ml,Personal Care,0.86,1095
P000135,Barry's Tea Biscuits 300g,Food,1.15,14
P000136,Coca-Cola Cola 500ml,Beverage,0.52,30
P000137,Dettol Disinfectant Spray 750ml,Household,1.85,730
P000138,Oreo Tomato Ketchup 460g,Food,0.99,90
P000139,Gillette Body Wash 500ml,Personal Care,1.51,365
